[[783.0, 904.0], [811.0, 904.0], [811.0, 931.0], [783.0, 931.0]]: 91
[[857.0, 899.0], [928.0, 903.0], [927.0, 931.0], [855.0, 927.0]]: Shots
[[1076.0, 904.0], [1093.0, 904.0], [1093.0, 931.0], [1076.0, 931.0]]: 3
[[1140.0, 903.0], [1250.0, 903.0], [1250.0, 929.0], [1140.0, 929.0]]: Redirects
[[1344.0, 897.0], [1376.0, 897.0], [1376.0, 941.0], [1344.0, 941.0]]: 48
[[295.0, 935.0], [369.0, 938.0], [368.0, 967.0], [294.0, 963.0]]: Shots
[[502.0, 938.0], [535.0, 938.0], [535.0, 965.0], [502.0, 965.0]]: 22
[[576.0, 935.0], [649.0, 938.0], [647.0, 967.0], [575.0, 963.0]]: Shots
[[781.0, 938.0], [813.0, 938.0], [813.0, 963.0], [781.0, 963.0]]: 30
[[1137.0, 938.0], [1208.0, 938.0], [1208.0, 966.0], [1137.0, 966.0]]: Shots
